AAPL,ADS,AMZN,DE,FB,GOOGL,IBM,MSFT,NKE,NVDA
0.14,0.2,0.55,0.74,-0.345,2.623,1.71,0.2,0.01,0.0
1.16,0.12,-2.19,0.56,0.13,1.567,0.04,-0.07,-0.02,0.005
1.084,1.47,2.99,0.19,0.56,3.634,0.14,0.71,0.185,0.19
0.686,0.87,1.81,0.55,0.24,8.323,1.88,-0.077,0.1,0.229
0.759,-0.16,7.13,0.03,0.261,4.66,1.5,0.42,0.135,0.095
-0.723,1.14,4.17,-0.1,0.24,2.943,-0.62,-0.025,-0.14,-0.115
0.68,2.08,-2.41,-0.6,0.759,-0.195,0.34,-0.2,0.1,0.11
-0.124,2.18,5.31,0.42,-0.23,5.648,-0.45,-0.195,0.4,0.14
0.561,0.27,2.47,0.48,0.15,2.633,-0.58,0.56,-0.075,0.15
-0.328,2.06,2.3,-0.47,3.05,0.826,-0.44,-0.255,-0.14,-0.051
0.941,0.08,4.52,0.26,0.26,-1.286,0.47,0.31,-0.22,-0.1
-0.42,2.58,-6.04,0.08,-1.22,-5.445,1.09,0.07,0.41,0.2
-0.394,0.65,9.24,0.25,-1.04,-4.808,0.19,0.07,0.745,0.17
-0.406,0.39,1.5,1.3,-1.01,-2.347,-0.21,0.33,0.2,-0.02
-0.356,-3.41,-6.035,1.8,-0.54,-7.953,0.85,0.56,-0.07,-0.02
-0.201,4.43,3.94,0.03,2.06,12.44,1.52,-0.59,0.38,-0.03
1.076,3.2,3.36,0.15,-0.01,-2.83,0.12,0.19,0.09,-0.02
0.53,-2.02,-2.8,0.05,-0.87,-4.53,-0.5,-0.21,0.145,-0.25
0.821,0.1,6.71,-0.72,0.2,-1.17,-0.9,0.2,-0.31,-0.26
-0.25,-1.35,0.81,0.17,0.08,-4.2,-0.23,-0.23,0.205,-0.05
2.04,3.22,1.17,-0.37,1.96,-3.82,-1.13,-0.29,-0.2,0.02
0.15,-1.43,-2.46,-0.12,-0.445,1.64,-0.62,-0.62,-0.395,-0.4
-0.77,-0.34,-0.71,-0.91,-0.68,2.45,-0.62,-0.44,0.225,-0.09
0.78,4.17,-6.28,-0.32,1.51,-1.37,4.1,0.94,0.405,-0.17
0.6,1.65,7.61,0.93,0.58,9.55,-0.94,-0.02,0.2,0.39
-0.03,0.01,5.505,-0.75,2.434,3.98,1.84,0.32,0.11,-0.225
-2.35,1.26,2.2,0.83,0.41,-1.76,1.93,0.32,-0.325,0.06
2.03,3.96,10.96,0.66,1.55,10.78,4.06,1.175,0.455,-0.21
1.81,3.48,-0.76,0.18,0.55,2.85,-0.38,0.03,-0.18,0.02
-0.42,0.16,-0.55,0.06,0.03,1.18,0.17,0.24,0.005,0.26
0.77,-0.27,9.98,0.36,0.57,12.28,1.53,0.65,-0.21,0.32
1.64,3.25,3.27,1.46,0.88,5.33,0.75,0.47,0.385,0.04
-1.27,-1.81,-8.06,0.43,0.0,-3.16,-1.72,-0.39,0.19,-0.07
-1.13,-0.85,10.23,-1.45,0.94,7.24,-1.26,0.02,0.615,0.25
-0.13,1.8,8.67,0.08,1.95,4.78,0.11,-0.56,-0.045,-0.19
-2.02,-0.29,-13.21,0.09,-1.58,-8.55,-0.77,-0.39,-0.96,-0.84
-0.44,-4.15,5.26,0.26,-0.4,1.12,1.42,-0.21,0.58,0.02
0.7,-4.09,4.06,2.18,2.4,8.07,-2.05,0.26,1.18,0.57
-0.24,-5.2,-7.81,-0.44,-0.59,4.38,-1.05,-0.88,0.18,-0.24
-0.25,1.84,0.28,-0.4,-3.62,-6.4,0.29,-0.25,-1.07,-0.06
-0.65,3.99,17.9,0.71,2.33,12.98,2.43,0.47,0.27,0.42
-0.22,-0.99,-6.15,0.03,-1.48,-2.18,0.02,-0.14,-0.61,-0.19
0.93,2.91,11.9,0.42,3.34,9.13,0.52,0.6,0.92,0.63
0.29,-2.67,7.07,-0.66,1.42,-0.99,0.69,0.59,-0.17,0.77
0.59,5.55,-0.28,-0.95,-0.21,-0.58,1.22,0.58,0.87,1.76
0.59,1.53,4.7,1.13,0.24,0.46,-0.05,0.03,0.08,0.75
-0.11,-0.17,8.79,0.38,-1.02,-12.53,0.93,-0.24,-0.7,0.37
0.68,-4.13,-5.48,-0.36,0.3,1.06,-0.47,0.44,-0.57,-0.75
0.28,-0.43,-7.25,-0.03,-0.65,0.55,0.58,0.04,0.06,6.53
0.7,6.4,-2.62,-0.67,-0.6,-13.23,-1.18,-0.56,0.3,-0.9
